PIC_RowNumber,Cst_Cnt,N_Cruise,N_Ship,N_OrderOcc,N_Towtype,N_Townumber,N_lat,N_lon,N_Line,N_Station
308,6053.0,195306,YE,35.0,C1,1.0,34.133333,-119.566666,83.3,43.0
309,6049.0,195306,YE,31.0,C1,1.0,33.566666,-120.75,83.3,60.0
310,,195306,YE,30.0,C1,1.0,33.416666,-121.083333,83.3,65.0
311,,195306,PT,9.0,C1,1.0,31.608333,-119.533333,93.3,65.0
312,,195306,ES,4.0,C1,1.0,34.0,-119.066666,85.0,39.0
313,,195306,ES,5.0,C1,1.0,33.783333,-119.52,85.0,45.0
314,6072.0,195307,CR,21.0,C1,1.0,35.083333,-120.9,76.7,50.0
315,6073.0,195307,CR,22.0,C1,1.0,34.933333,-121.233333,76.7,55.0
316,6078.0,195307,CR,28.0,C1,1.0,33.783333,-121.833333,80.0,70.0
317,6079.0,195307,CR,29.0,C1,1.0,34.125,-121.183333,80.0,60.0
318,6085.0,195307,CR,35.0,C1,1.0,33.866666,-120.133333,83.3,51.0
319,6086.0,195307,CR,36.0,C1,1.0,33.716666,-120.416666,83.3,55.0
320,6087.0,195307,CR,37.0,C1,1.0,33.566666,-120.75,83.3,60.0
321,6093.0,195307,CR,43.0,C1,1.0,34.0,-119.066666,85.0,39.0
322,6092.0,195307,CR,42.0,C1,1.0,33.95,-119.175,85.0,40.0
323,6095.0,195307,CR,44.0,C1,1.0,33.666666,-118.975,86.7,40.0
324,6100.0,195307,CR,49.0,C1,1.0,32.075,-120.65,90.0,70.0
325,6106.0,195307,CR,55.0,C1,1.0,33.408333,-117.916666,90.0,30.0
326,6107.0,195307,CR,56.0,C1,1.0,33.475,-117.775,90.0,28.0
327,,195307,HO,64.0,C1,1.0,32.683333,-117.875,93.3,35.0
328,6192.0,195307,HO,63.0,C1,1.0,32.491666,-118.22,93.3,40.0
329,6194.0,195307,HO,66.0,C1,1.0,32.936666,-117.303333,93.3,27.0
330,6193.0,195307,HO,65.0,C1,1.0,32.82,-117.541666,93.3,30.0
